user,repo,url,text,title,state,ref,match,content,contribution_type
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/8cc5565b7b99e944d30ebf135afda7cf98ed8ee5,Lowering the volume across the board just in case that has anything to do with bug [#31],"Commit(sha=""8cc5565b7b99e944d30ebf135afda7cf98ed8ee5"")",no state,8cc5565b7b99e944d30ebf135afda7cf98ed8ee5,Lowering the volume across the board just in case that has anything to do with bug [#31],not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/3c58fafa9dca16130ff88e1fa2da8c297110af0f,"Level 8 didn’t afford much strategy beyond going right, so the level design was changed.","Commit(sha=""3c58fafa9dca16130ff88e1fa2da8c297110af0f"")",no state,3c58fafa9dca16130ff88e1fa2da8c297110af0f,"Level 8 didn’t afford much strategy beyond going right, so the level design was changed.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/065a07d3ee62c3714ddaa74915da83895e9aa650,"Fixed bug [#32], and also fixed a bug whereby you could enter input on an invisible menu.  The fix is to just wait a bit to load the menu, which is enough to load the music.  When the music is loaded, bug [#32] does not come up.","Commit(sha=""065a07d3ee62c3714ddaa74915da83895e9aa650"")",no state,065a07d3ee62c3714ddaa74915da83895e9aa650,"Fixed bug [#32], and also fixed a bug whereby you could enter input on an invisible menu.  The fix is to just wait a bit to load the menu, which is enough to load the music.  When the music is loaded, bug [#32] does not come up.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b5df8742f2a67e8be0ca77c6bd714d0e5ac54e01,Changing the favicon.ico,"Commit(sha=""b5df8742f2a67e8be0ca77c6bd714d0e5ac54e01"")",no state,b5df8742f2a67e8be0ca77c6bd714d0e5ac54e01,Changing the favicon.ico,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b64bfdc0d4d0298ca32f10ac66f3dffc9af29f45,Changed the narrative for level13,"Commit(sha=""b64bfdc0d4d0298ca32f10ac66f3dffc9af29f45"")",no state,b64bfdc0d4d0298ca32f10ac66f3dffc9af29f45,Changed the narrative for level13,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/9b56030bb3db8f4467835ac3f47ad2f49a05f935,"Changed the level volume code to be amenable to either the morallyambiguousai song, or the metonymy song.","Commit(sha=""9b56030bb3db8f4467835ac3f47ad2f49a05f935"")",no state,9b56030bb3db8f4467835ac3f47ad2f49a05f935,"Changed the level volume code to be amenable to either the morallyambiguousai song, or the metonymy song.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/da3571a2a68cb2415d4b596d93dd6a4ef0061f72,Changed the way the audio is set for narrative stages.,"Commit(sha=""da3571a2a68cb2415d4b596d93dd6a4ef0061f72"")",no state,da3571a2a68cb2415d4b596d93dd6a4ef0061f72,Changed the way the audio is set for narrative stages.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/9b6f5c00548c4a8854276246a790ce218ef98330,Changed the narrative a bit.,"Commit(sha=""9b6f5c00548c4a8854276246a790ce218ef98330"")",no state,9b6f5c00548c4a8854276246a790ce218ef98330,Changed the narrative a bit.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/935c4169a7b70d6f9b0d7daed1d629dc26995ba1,Fixed a bug discovered by @colemip whereby the sounds of the Robot moving would keep playing when the player lost.,"Commit(sha=""935c4169a7b70d6f9b0d7daed1d629dc26995ba1"")",no state,935c4169a7b70d6f9b0d7daed1d629dc26995ba1,Fixed a bug discovered by @colemip whereby the sounds of the Robot moving would keep playing when the player lost.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/330f5bb27bb50dc0daec8034ba0e8d3172cee29d,Removed infinite battery cheat :),"Commit(sha=""330f5bb27bb50dc0daec8034ba0e8d3172cee29d"")",no state,330f5bb27bb50dc0daec8034ba0e8d3172cee29d,Removed infinite battery cheat :),not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/6fe4847e08e486829903754b04d411950efddfc8,"Fixed bug [#30] - if the user navigates off the browser window, the game pauses.","Commit(sha=""6fe4847e08e486829903754b04d411950efddfc8"")",no state,6fe4847e08e486829903754b04d411950efddfc8,"Fixed bug [#30] - if the user navigates off the browser window, the game pauses.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/8deb30f078faa31066756bf37c9a18810dd71d61,Fixed a bug that displayed the batteries on top of the enemy robots.,"Commit(sha=""8deb30f078faa31066756bf37c9a18810dd71d61"")",no state,8deb30f078faa31066756bf37c9a18810dd71d61,Fixed a bug that displayed the batteries on top of the enemy robots.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/9b69ceb364e8a9df570002099a802f7e910a402f,Fixed a bug whereby the LevelSelectState tried to stop music with a reference that changed by the time the State changed.,"Commit(sha=""9b69ceb364e8a9df570002099a802f7e910a402f"")",no state,9b69ceb364e8a9df570002099a802f7e910a402f,Fixed a bug whereby the LevelSelectState tried to stop music with a reference that changed by the time the State changed.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/096307d975ca26a8802676c5f96d831f899791a5,Fixed spacing issue for the JSON level file.,"Commit(sha=""096307d975ca26a8802676c5f96d831f899791a5"")",no state,096307d975ca26a8802676c5f96d831f899791a5,Fixed spacing issue for the JSON level file.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/8471f4d1bef48523434aa1b704b7da6ed48eb51e,"Level JSON data now has a battery attribute, allowing the level designer to configure the Robot with an initial battery level as desired.","Commit(sha=""8471f4d1bef48523434aa1b704b7da6ed48eb51e"")",no state,8471f4d1bef48523434aa1b704b7da6ed48eb51e,"Level JSON data now has a battery attribute, allowing the level designer to configure the Robot with an initial battery level as desired.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/14e80780490918c434f5bdd0e934168b2588e590,"Fixed a bug that momentarily drew a huge battery bar on the screen by bounding player attributes immediately, rather than by catching them in an update loop - changed the bound_player_attributes into a Robot method to do so.","Commit(sha=""14e80780490918c434f5bdd0e934168b2588e590"")",no state,14e80780490918c434f5bdd0e934168b2588e590,"Fixed a bug that momentarily drew a huge battery bar on the screen by bounding player attributes immediately, rather than by catching them in an update loop - changed the bound_player_attributes into a Robot method to do so.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/4ae2e287437c490b9ca7189294705f610fdc40c3,Fixed a bug that didn't allow the player to collide batteries from the right-hand side.,"Commit(sha=""4ae2e287437c490b9ca7189294705f610fdc40c3"")",no state,4ae2e287437c490b9ca7189294705f610fdc40c3,Fixed a bug that didn't allow the player to collide batteries from the right-hand side.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/0106e8ec524dc9a1204f9125f3776a68e1662224,Fixed a bug in the TitleScreen that didn't stop the Title song from playing.,"Commit(sha=""0106e8ec524dc9a1204f9125f3776a68e1662224"")",no state,0106e8ec524dc9a1204f9125f3776a68e1662224,Fixed a bug in the TitleScreen that didn't stop the Title song from playing.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/22b0d4b06bee4c0bac68d3b4ac1461430b37655d,[#22] Fixing bug that caused tiles that had game object dragged over it to be cleared (but lost ability to click and drag to set type of multiple tiles quickly),"Commit(sha=""22b0d4b06bee4c0bac68d3b4ac1461430b37655d"")",no state,22b0d4b06bee4c0bac68d3b4ac1461430b37655d,[#22] Fixing bug that caused tiles that had game object dragged over it to be cleared (but lost ability to click and drag to set type of multiple tiles quickly),not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/c95ad94ddcd54523aa7405340b4068d02eaca03c,"Fixing issue where goal, start tile limit reached message was no longer displayed","Commit(sha=""c95ad94ddcd54523aa7405340b4068d02eaca03c"")",no state,c95ad94ddcd54523aa7405340b4068d02eaca03c,"Fixing issue where goal, start tile limit reached message was no longer displayed",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/29658bc91eeb8a8a2d4a2318ac3ce66125bb2c7e,"Changed the success.mp3 to a custom made one, and updated the CREDITS to reflect that.","Commit(sha=""29658bc91eeb8a8a2d4a2318ac3ce66125bb2c7e"")",no state,29658bc91eeb8a8a2d4a2318ac3ce66125bb2c7e,"Changed the success.mp3 to a custom made one, and updated the CREDITS to reflect that.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/6b8e7814d5b14912e89bc68358ea723d52ad1dfc,[#28] Fixing issue where trying to add additional start tiles would set clicked tile id to that of start tile,"Commit(sha=""6b8e7814d5b14912e89bc68358ea723d52ad1dfc"")",no state,6b8e7814d5b14912e89bc68358ea723d52ad1dfc,[#28] Fixing issue where trying to add additional start tiles would set clicked tile id to that of start tile,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/07e835d84348e171614725d97026b46124b30420,"[#23]Resetting goal, start count when clearing grid; changing logic for checking if goal, start tile counts have reached maximum to be less confusing","Commit(sha=""07e835d84348e171614725d97026b46124b30420"")",no state,07e835d84348e171614725d97026b46124b30420,"[#23]Resetting goal, start count when clearing grid; changing logic for checking if goal, start tile counts have reached maximum to be less confusing",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/13a4f7594007bf80ba9ad2dc3f726f117d78c9d1,[#21] Fixing issue where game object icons were not removed when 'clear grid' button was pressed,"Commit(sha=""13a4f7594007bf80ba9ad2dc3f726f117d78c9d1"")",no state,13a4f7594007bf80ba9ad2dc3f726f117d78c9d1,[#21] Fixing issue where game object icons were not removed when 'clear grid' button was pressed,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/463febf8e63d2fde8c6897da3d09dcef43c3d57c,"[#27] Fixing styling, drag/drop bugs","Commit(sha=""463febf8e63d2fde8c6897da3d09dcef43c3d57c"")",no state,463febf8e63d2fde8c6897da3d09dcef43c3d57c,"[#27] Fixing styling, drag/drop bugs",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/ec90813f7f2f40409d6711d82192f6453fc44948,Refactoring method for placing copied version of game object onto grid,"Commit(sha=""ec90813f7f2f40409d6711d82192f6453fc44948"")",no state,ec90813f7f2f40409d6711d82192f6453fc44948,Refactoring method for placing copied version of game object onto grid,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/ca0677d2a0f669fbc6904c627d655bd51f82885a,[#25] Fixing drag/drop issues with battery where game object grid was not properly updated when dragging battery off of a tile,"Commit(sha=""ca0677d2a0f669fbc6904c627d655bd51f82885a"")",no state,ca0677d2a0f669fbc6904c627d655bd51f82885a,[#25] Fixing drag/drop issues with battery where game object grid was not properly updated when dragging battery off of a tile,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/95384d06313f6d6f64caedd0cadb201b3f8dcad3,[#25] Fixing issue for enemy bot where game object id wasn't reset when object was dragged to new tile,"Commit(sha=""95384d06313f6d6f64caedd0cadb201b3f8dcad3"")",no state,95384d06313f6d6f64caedd0cadb201b3f8dcad3,[#25] Fixing issue for enemy bot where game object id wasn't reset when object was dragged to new tile,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/722516cc972ccc310757cce405a494660e701d84,Changed the README to be a bit more tongue-in-cheek,"Commit(sha=""722516cc972ccc310757cce405a494660e701d84"")",no state,722516cc972ccc310757cce405a494660e701d84,Changed the README to be a bit more tongue-in-cheek,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/406a17961018ff87afcf15969fdc948a2b74ecec,"If the player is planning, robot execution time will necessarily be delayed - so don't count that time against their respective watchdog timer.","Commit(sha=""406a17961018ff87afcf15969fdc948a2b74ecec"")",no state,406a17961018ff87afcf15969fdc948a2b74ecec,"If the player is planning, robot execution time will necessarily be delayed - so don't count that time against their respective watchdog timer.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b10cfbe4ba65a871dd4165689c699e265ef39c05,"Fixed a bug in the collide protocol - if the previous position is undefined, then we need to move downward from my current position, not from the previous position (because it's undefined -_-)","Commit(sha=""b10cfbe4ba65a871dd4165689c699e265ef39c05"")",no state,b10cfbe4ba65a871dd4165689c699e265ef39c05,"Fixed a bug in the collide protocol - if the previous position is undefined, then we need to move downward from my current position, not from the previous position (because it's undefined -_-)",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/dd94a1fc915d3f97b8cbeecf3b112a1dffdb53e3,"Implemented a long overdue fix for a bug, which caused AI Robots that were rebooting to stay rebooting indefinitely.","Commit(sha=""dd94a1fc915d3f97b8cbeecf3b112a1dffdb53e3"")",no state,dd94a1fc915d3f97b8cbeecf3b112a1dffdb53e3,"Implemented a long overdue fix for a bug, which caused AI Robots that were rebooting to stay rebooting indefinitely.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b52d035c2652c8baaf71f1d3e3f1f94e51df578f,"Refactored the music fade time, and changed it to 750 ms.","Commit(sha=""b52d035c2652c8baaf71f1d3e3f1f94e51df578f"")",no state,b52d035c2652c8baaf71f1d3e3f1f94e51df578f,"Refactored the music fade time, and changed it to 750 ms.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b967dfa04c943213e66810e9e2d6039ec6fe62fd,"Changed the metonymy theme to exactly 30 seconds long, which loops perfectly and makes it easier to write general code for handling music playing.","Commit(sha=""b967dfa04c943213e66810e9e2d6039ec6fe62fd"")",no state,b967dfa04c943213e66810e9e2d6039ec6fe62fd,"Changed the metonymy theme to exactly 30 seconds long, which loops perfectly and makes it easier to write general code for handling music playing.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/45adcd285ec86886b2e7ccdf3860ad43e836df2d,"Refactored the sound effects that related to state information out of the stages, and gave them to the enclosing PlayState.","Commit(sha=""45adcd285ec86886b2e7ccdf3860ad43e836df2d"")",no state,45adcd285ec86886b2e7ccdf3860ad43e836df2d,"Refactored the sound effects that related to state information out of the stages, and gave them to the enclosing PlayState.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/c5fd8a6b8556b2eefcf39ba701951a483eab67ff,Fixed bug - a LevelStage is NOT a Narrative one. :),"Commit(sha=""c5fd8a6b8556b2eefcf39ba701951a483eab67ff"")",no state,c5fd8a6b8556b2eefcf39ba701951a483eab67ff,Fixed bug - a LevelStage is NOT a Narrative one. :),not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b4d4e911c77b41069173bb8a3005df3458338eac,Fixed an error in the AboutState that came about due to refactoring.,"Commit(sha=""b4d4e911c77b41069173bb8a3005df3458338eac"")",no state,b4d4e911c77b41069173bb8a3005df3458338eac,Fixed an error in the AboutState that came about due to refactoring.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b9b3dca5c9ceb05867bbc8fff45d0167f76efdee,Changed the MenuState aesthetic.,"Commit(sha=""b9b3dca5c9ceb05867bbc8fff45d0167f76efdee"")",no state,b9b3dca5c9ceb05867bbc8fff45d0167f76efdee,Changed the MenuState aesthetic.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/e9af3abac8d0c98620826a56b12a9b1ee87ee88d,Changed the font to Orbitron.,"Commit(sha=""e9af3abac8d0c98620826a56b12a9b1ee87ee88d"")",no state,e9af3abac8d0c98620826a56b12a9b1ee87ee88d,Changed the font to Orbitron.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/efdda73018ec4f2738dd5d9099fadeeb6f175f5e,Adding localhost changes.,"Commit(sha=""efdda73018ec4f2738dd5d9099fadeeb6f175f5e"")",no state,efdda73018ec4f2738dd5d9099fadeeb6f175f5e,Adding localhost changes.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/fbbba51ede2306910bbc7b06edbd4db427c9eec6,"Moved the Game Design Attributes to the top of the Robot file, and changed some values, to change the mechanics.","Commit(sha=""fbbba51ede2306910bbc7b06edbd4db427c9eec6"")",no state,fbbba51ede2306910bbc7b06edbd4db427c9eec6,"Moved the Game Design Attributes to the top of the Robot file, and changed some values, to change the mechanics.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/0a6b63a41e0be8459b1943ec16af89547d07f455,Added a small note about the battery for level 1.,"Commit(sha=""0a6b63a41e0be8459b1943ec16af89547d07f455"")",no state,0a6b63a41e0be8459b1943ec16af89547d07f455,Added a small note about the battery for level 1.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/cba085ab1237bcd2bc505289b58c92a2dc6aa448,"Changed the JSON to reflect a simpler start level, and added new attributes to the JSON:  a retry dialogue for when you retry the level, and a fail dialogue for when you fail it.","Commit(sha=""cba085ab1237bcd2bc505289b58c92a2dc6aa448"")",no state,cba085ab1237bcd2bc505289b58c92a2dc6aa448,"Changed the JSON to reflect a simpler start level, and added new attributes to the JSON:  a retry dialogue for when you retry the level, and a fail dialogue for when you fail it.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/d4dab6665f230e3447439055c42aa41e91463a9d,"Refactored the LevelStage state system, and loaded the outro dialog from JSON.  A full level cycle is complete!","Commit(sha=""d4dab6665f230e3447439055c42aa41e91463a9d"")",no state,d4dab6665f230e3447439055c42aa41e91463a9d,"Refactored the LevelStage state system, and loaded the outro dialog from JSON.  A full level cycle is complete!",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b7dcfb9dc7824ae2ff17bf97fdbf920d2ed2870b,Changing volumes for better audio.,"Commit(sha=""b7dcfb9dc7824ae2ff17bf97fdbf920d2ed2870b"")",no state,b7dcfb9dc7824ae2ff17bf97fdbf920d2ed2870b,Changing volumes for better audio.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/6d821079cd85b944ce5dfe655ad27d9755657c72,Fixed format issue in README,"Commit(sha=""6d821079cd85b944ce5dfe655ad27d9755657c72"")",no state,6d821079cd85b944ce5dfe655ad27d9755657c72,Fixed format issue in README,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/51c01401e4ccb2ba5acc82d5d31f7c9ea33edabf,Removing debug alert when outputting grid,"Commit(sha=""51c01401e4ccb2ba5acc82d5d31f7c9ea33edabf"")",no state,51c01401e4ccb2ba5acc82d5d31f7c9ea33edabf,Removing debug alert when outputting grid,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/e74b7cfd72aa8bc77b7a3feb9aff72c8b26d3fcc,Changed both the background image and the way the animation was done.,"Commit(sha=""e74b7cfd72aa8bc77b7a3feb9aff72c8b26d3fcc"")",no state,e74b7cfd72aa8bc77b7a3feb9aff72c8b26d3fcc,Changed both the background image and the way the animation was done.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/6e0b862f3f4e7980b4e5f90eb9fefc1baf1d7123,Changed the AboutState sprite for Jose. :),"Commit(sha=""6e0b862f3f4e7980b4e5f90eb9fefc1baf1d7123"")",no state,6e0b862f3f4e7980b4e5f90eb9fefc1baf1d7123,Changed the AboutState sprite for Jose. :),not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/16dbfe5c8eb466f8e740769f08b75e5607601960,Changed timing and added a box around the menu items.,"Commit(sha=""16dbfe5c8eb466f8e740769f08b75e5607601960"")",no state,16dbfe5c8eb466f8e740769f08b75e5607601960,Changed timing and added a box around the menu items.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/8664831d8b7eedd87e736833c1bcbf34be63a706,"Changed the font, and moved the menu to a reasonable spot.","Commit(sha=""8664831d8b7eedd87e736833c1bcbf34be63a706"")",no state,8664831d8b7eedd87e736833c1bcbf34be63a706,"Changed the font, and moved the menu to a reasonable spot.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/4985a60a23530d7e57354aaf696350fd1a52e247,Fixed two bugs,"Commit(sha=""4985a60a23530d7e57354aaf696350fd1a52e247"")",no state,4985a60a23530d7e57354aaf696350fd1a52e247,Fixed two bugs,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/2904a893982dcfef9deacba095f22d0213f01780,Finished refactoring the LevelStage's update.  Also added a bit of documentation for the Robot's doCollideProtocol method.,"Commit(sha=""2904a893982dcfef9deacba095f22d0213f01780"")",no state,2904a893982dcfef9deacba095f22d0213f01780,Finished refactoring the LevelStage's update.  Also added a bit of documentation for the Robot's doCollideProtocol method.,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/b6dc13a5c9ff862ca9a5337a105ec5193d5ad9ca,"Got rid of the respawning robots array, and fixed a bug that came about due to refactoring.","Commit(sha=""b6dc13a5c9ff862ca9a5337a105ec5193d5ad9ca"")",no state,b6dc13a5c9ff862ca9a5337a105ec5193d5ad9ca,"Got rid of the respawning robots array, and fixed a bug that came about due to refactoring.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/6272c976659dd54cbde5649f2c096d81548cb480,"Refactored the setMode method - much shorter, thank you very much.","Commit(sha=""6272c976659dd54cbde5649f2c096d81548cb480"")",no state,6272c976659dd54cbde5649f2c096d81548cb480,"Refactored the setMode method - much shorter, thank you very much.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/9c50b32e65f1ce2d9dd87038423c57dd232f2d25,"Updated the isInPlay method for Robots to something that makes sense.  Also introduced a distinction in LevelState for robots that are respawning (not in or out of play).  Finally, changed the distinction for the freeze frames to foreground/background, which makes more sense for drawing.","Commit(sha=""9c50b32e65f1ce2d9dd87038423c57dd232f2d25"")",no state,9c50b32e65f1ce2d9dd87038423c57dd232f2d25,"Updated the isInPlay method for Robots to something that makes sense.  Also introduced a distinction in LevelState for robots that are respawning (not in or out of play).  Finally, changed the distinction for the freeze frames to foreground/background, which makes more sense for drawing.",not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/96ee97aa2f71d4f262423f4be0d9a4eb95727091,Refactored the code related to initializing and clearing the robot freeze frames (which are used when the player is planning).,"Commit(sha=""96ee97aa2f71d4f262423f4be0d9a4eb95727091"")",no state,96ee97aa2f71d4f262423f4be0d9a4eb95727091,Refactored the code related to initializing and clearing the robot freeze frames (which are used when the player is planning).,not here,commit_message
